Link,Publishing Info
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017118,"Publicerad13 december 2017·Kommittédirektiv,Rättsliga dokumentfrånFinansdepartementet,Regeringen"
https://www.regeringen.se/arendeforteckningar/2017/12/regeringens-arendeforteckningar-vecka-50-2017/,"Publicerad12 december 2017·ÄrendeförteckningfrånArbetsmarknadsdepartementet,Finansdepartementet,Försvarsdepartementet,Justitiedepartementet,Klimat- och näringslivsdepartementet,Kulturdepartementet,Socialdepartementet,Statsrådsberedningen,Utbildningsdepartementet,Utrikesdepartementet"
https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2017/12/sou-2017100/,"Publicerad12 december 2017·Rättsliga dokument,Statens offentliga utredningarfrånJustitiedepartementet"
https://www.regeringen.se/rattsliga-dokument/skrivelse/2017/12/20171870-integritetsskydd-vid-signalspaning-i-forsvarsunderrattelseverksamhet/,"Publicerad12 december 2017·Rättsliga dokument,SkrivelsefrånFörsvarsdepartementet"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-luftsfartsverket-att-komplettera-overvakningsinfrastrukturen-for-flygtrafikledning-for-att-mojliggora-byggnation-av-ytterligare-bostader-i-stockholmsomradet/,Publicerad12 december 2017·RegeringsuppdragfrånKlimat- och näringslivsdepartementet
https://www.regeringen.se/remisser/2017/12/remiss-av-skatteverkets-promemoria-nagra-fragor-om-arbete-mot-skattebrott/,Publicerad12 december 2017·RemissfrånFinansdepartementet
https://www.regeringen.se/remisser/2017/12/remiss-av-sou-201794-berakning-av-skattetillagg---en-oversyn-av-reglerna/,Publicerad12 december 2017·RemissfrånFinansdepartementet
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-upphandlingsmyndigheten-att-forstarka-kompetensen-pa-omradet-upphandling-av-livsmedel-och-maltidstjanster/,Publicerad11 december 2017·RegeringsuppdragfrånLandsbygds- och infrastrukturdepartementet
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-business-sweden-att-genomfora-ett-exportprogram-inom-ramen-for-livsmedelsstrategin/,Publicerad11 december 2017·RegeringsuppdragfrånLandsbygds- och infrastrukturdepartementet
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-vinnova-att-inom-ramen-for-livsmedelsstrategin-utveckla-inkubation-i-livsmedelskedjan/,Publicerad11 december 2017·RegeringsuppdragfrånLandsbygds- och infrastrukturdepartementet
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-formas-att-inom-ramen-for-livsmedelsstrategin-inratta-ett-nationellt-forskningsprogram-for-livsmedel/,Publicerad11 december 2017·RegeringsuppdragfrånLandsbygds- och infrastrukturdepartementet
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-formas-att-ge-stod-till-insatser-for-vaxtforadling-inom-ramen-for-livsmedelsstrategin/,Publicerad11 december 2017·RegeringsuppdragfrånLandsbygds- och infrastrukturdepartementet
https://www.regeringen.se/remisser/2017/07/remiss-av-sou-201741-meddelarskyddslagen--fler-verksamheter-med-starkt-meddelarskydd/,Publicerad11 juli 2017· Uppdaterad11 december 2017·RemissfrånJustitiedepartementet
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017119,"Publicerad11 december 2017·Kommittédirektiv,Rättsliga dokumentfrånFinansdepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017120,"Publicerad08 december 2017·Kommittédirektiv,Rättsliga dokumentfrånRegeringen,Socialdepartementet"
https://www.regeringen.se/remisser/2017/12/remiss-av-sou-201788-nasta-steg-del-2.-forslag-for-en-starkt-minoritetspolitik,Publicerad08 december 2017·RemissfrånKulturdepartementet
